Keenan Allen,sd,19,287,4
Kendall Wright,stl,13,258,3
Thomas Johnson,sd,16,239,1
Stedman Bailey,was,16,223,0
Alton Scott,sea,13,214,1
Eric James,dal,12,196,3
Antoine Coley,car,13,195,2
Breshad Perriman,bal,12,193,3
Jaelen Strong,atl,11,192,1
Justin White,atl,17,192,1
Derius Knox,phi,14,188,2
Amari Cooper,pit,9,185,1
DeAndre Hopkins,hou,16,183,1
T.Y. Hilton,phi,11,168,0
Matt Maramarosa,bal,15,162,1
Davante Adams,gb,8,162,1
Kevin White,chi,12,160,1
John Brown,ari,13,160,1
Jarvis Landry,mia,12,158,0
Calvin Johnson,det,11,153,1
Allen Robinson,det,12,151,0
Nelson Agholor,hou,12,150,1
Brandon Coleman,no,12,149,1
Jesse Hickman,tb,12,149,0
Mike Evans,jac,8,149,3
Alshon Jeffery,chi,12,148,1
Kenny Britt,sf,13,147,1
Jace Amaro,nyj,11,146,1
Wendell Burns,phi,9,145,1
Jaylen Lauderdale,cin,13,142,0
Colby Jordan,stl,8,141,2
Tobias Minor,den,7,138,3
Darrien Patrick,nyj,9,132,0
Eric Ebron,tb,16,132,3
Lamar Nunley,mia,8,131,1
Doug Baldwin,car,11,130,1
Conor Mapa,kc,10,129,0
Reggie Thomas,nyj,10,128,0
Cordarrelle Patterson,sf,7,127,0
Sammy Watkins,oak,11,127,0
Cole Beasley,buf,12,126,0
Jordan Matthews,sea,8,124,1
Golden Tate,ind,9,122,1
Michael Floyd,ari,11,120,1
Julian Edelman,ne,13,120,0
Justin Blackmon,pit,10,119,2
B.J. Burton,atl,8,118,1
Sammie Coates,was,9,117,1
Brandin Cooks,ten,11,116,2
Duron Carter,chi,9,115,0
Deandre Newton,tb,8,115,0
Jeffery Stover,car,13,115,0
Everette Ayers,cle,10,113,0
DeVante Parker,mia,9,111,0
Aaron Dobson,ne,9,109,3
Jawaun Ponder,cin,8,109,1
Breon Reeves,kc,8,108,0
Terrance Williams,dal,10,108,0
