Brody Knight,797,8,4
Phillip Williams,643,8,1
Nathan Spencer,615,4,2
Phillip Bowles,607,6,2
Jameis Winston,586,5,1
Robert Griffin III,557,6,3
Jackson Middlebrooks,552,6,3
Johnny Manziel,548,3,4
Chance Graves,544,3,6
Aaron Rodgers,521,7,0
Zack Patrick,516,3,3
Garrett Grayson,500,3,1
Geno Smith,491,2,2
Ben Roethlisberger,482,5,0
Michael Burrell,479,3,4
Noah Fitzgerald,472,5,0
Cam Newton,450,3,2
Tim Tebow,450,2,4
Casey Austin,448,3,1
Russell Wilson,437,0,1
Derek Carr,417,4,0
Zach Stephens,414,2,0
Andrew Luck,411,2,4
Logan Thomas,398,1,1
Tyrod Taylor,394,2,5
Andy Dalton,376,4,0
Noah Parks,369,2,0
Cameron McGhee,322,0,1
Marcus Mariota,316,4,2
Mike Glennon,306,3,0
Becket Foreman,273,0,3
Teddy Bridgewater,244,2,1
Bryce Petty,189,1,1
Jed Russell,175,1,3
Scott Mincy,127,2,0
Ronny Scott,107,1,0
Robert Stover,45,0,0
Ryan Mallett,30,0,0
Bryan Vasquez,26,0,0
Stephen Trammell,18,0,0
Reid Ryan,15,0,0
Keith Wenning,13,0,0
Jordan Scott,8,0,0
